city,state_id,state_name,lat,lng
Anamoose,ND,North Dakota,47.8828,-100.2420
Dayville,CT,Connecticut,41.8443,-71.8823
Pavillion,WY,Wyoming,43.2440,-108.6890
Briggsville,WI,Wisconsin,43.6561,-89.5897
Pawnee Rock,KS,Kansas,38.2649,-98.9823
Augusta,MO,Missouri,38.5695,-90.8812
Midway,TX,Texas,31.0252,-95.7539
North Miami,OK,Oklahoma,36.9202,-94.8797
Cuba,KS,Kansas,39.8023,-97.4576
Douglassville,TX,Texas,33.1917,-94.3519
Lake Lorraine,WI,Wisconsin,42.7330,-88.7374
Odell,NE,Nebraska,40.0503,-96.8016
Kilbourne,IL,Illinois,40.1519,-90.0115
Kistler,PA,Pennsylvania,40.3769,-77.8654
Le Raysville,PA,Pennsylvania,41.8381,-76.1776
Raymond City,WV,West Virginia,38.4838,-81.8195
Alpine Northwest,WY,Wyoming,43.1817,-111.0347
Walton,KS,Kansas,38.1187,-97.2582
Elk City,KS,Kansas,37.2896,-95.9099
Uehling,NE,Nebraska,41.7348,-96.5058
Russell,AR,Arkansas,35.3621,-91.5100
Boone,CO,Colorado,38.2495,-104.2583
St. Peter,IL,Illinois,38.8676,-88.8505
Morgan Heights,CO,Colorado,40.2875,-103.8275
Belleville,NY,New York,43.7893,-76.1153
Picacho,AZ,Arizona,32.7090,-111.4909
Anderson,TX,Texas,30.4871,-95.9899
Maitland,MO,Missouri,40.2020,-95.0780
Hartsville,IN,Indiana,39.2669,-85.6991
Kimballton,IA,Iowa,41.6272,-95.0747
Sarah Ann,WV,West Virginia,37.7086,-81.9880
East Gillespie,IL,Illinois,39.1378,-89.8127
Lost Bridge Village,AR,Arkansas,36.3899,-93.9156
Foxburg,PA,Pennsylvania,41.1459,-79.6802
Wallsburg,UT,Utah,40.3869,-111.4194
Repton,AL,Alabama,31.4096,-87.2394
North Bend,PA,Pennsylvania,41.3473,-77.7026
Tynan,TX,Texas,28.1708,-97.7492
Ste. Marie,IL,Illinois,38.9300,-88.0278
New Pittsburg,OH,Ohio,40.8416,-82.0989
Kaw City,OK,Oklahoma,36.7675,-96.8602
Kanawha,WV,West Virginia,39.2017,-81.4592
Elfrida,AZ,Arizona,31.6783,-109.6876
Perry,SC,South Carolina,33.6281,-81.3079
Dover,OK,Oklahoma,35.9816,-97.9108
Lakota,IA,Iowa,43.3786,-94.0963
Bloomburg,TX,Texas,33.1378,-94.0591
Fayetteville,TX,Texas,29.9063,-96.6758
Kincaid,WV,West Virginia,38.0382,-81.2759
Deweyville,UT,Utah,41.6930,-112.0883
Salisbury Mills,NY,New York,41.4308,-74.1098
Skamokawa Valley,WA,Washington,46.3004,-123.4243
Earling,WV,West Virginia,37.7668,-81.9161
Shady Dale,GA,Georgia,33.4008,-83.5880
Deloit,IA,Iowa,42.0972,-95.3174
Tullos,LA,Louisiana,31.8188,-92.3293
Vinton,OH,Ohio,38.9776,-82.3374
Carson,ND,North Dakota,46.4223,-101.5706
Brule,NE,Nebraska,41.0947,-101.8882
Indiahoma,OK,Oklahoma,34.6197,-98.7522
Rock Hill,LA,Louisiana,31.4427,-92.5695
Las Palomas,NM,New Mexico,33.0589,-107.2983
Junction,UT,Utah,38.2358,-112.2238
Henderson,MI,Michigan,43.0872,-84.1933
Dixon,MT,Montana,47.3172,-114.3569
Abbott,TX,Texas,31.8868,-97.0799
Holy Cross,IA,Iowa,42.6011,-90.9962
Sterling,OH,Ohio,40.9663,-81.8440
Morganton,GA,Georgia,34.8749,-84.2442
Needmore,IN,Indiana,38.9267,-86.5263
Higginsport,OH,Ohio,38.7900,-83.9673
Bear Creek,WI,Wisconsin,44.5313,-88.7275
Wallace,NE,Nebraska,40.8376,-101.1645
Yancey,TX,Texas,29.1442,-99.1438
Velarde,NM,New Mexico,36.1608,-105.9659
Granville,IA,Iowa,42.9853,-95.8749
Blanche,TN,Tennessee,35.0437,-86.7532
Goose Creek,KY,Kentucky,38.2934,-85.5906
Grygla,MN,Minnesota,48.2996,-95.6238
Maytown,AL,Alabama,33.5499,-87.0001
Jamestown,CO,Colorado,40.1180,-105.3914
Carbon,TX,Texas,32.2684,-98.8272
Madrid,NM,New Mexico,35.4033,-106.1537
Loda,IL,Illinois,40.5160,-88.0756
Yantis,TX,Texas,32.9305,-95.5761
Chloride,AZ,Arizona,35.4097,-114.1972
Dellroy,OH,Ohio,40.5550,-81.1992
Gordonville,AL,Alabama,32.1489,-86.6995
Lake Angelus,MI,Michigan,42.6921,-83.3216
Pleasant Grove,MD,Maryland,39.6802,-78.6904
Bascom,OH,Ohio,41.1290,-83.2869
Geiger,AL,Alabama,32.8696,-88.3133
Twin Groves,AR,Arkansas,35.3187,-92.4253
Americus,IN,Indiana,40.5254,-86.7475
Trenton,KY,Kentucky,36.7224,-87.2626
Mount Pleasant Mills,PA,Pennsylvania,40.7247,-77.0200
Frost,MN,Minnesota,43.5846,-93.9248
Jobstown,NJ,New Jersey,40.0334,-74.6945
Addieville,IL,Illinois,38.3913,-89.4865
Oliver,GA,Georgia,32.5215,-81.5330
Antreville,SC,South Carolina,34.2971,-82.5541
Belgium,IL,Illinois,40.0607,-87.6328
Gillsville,GA,Georgia,34.3085,-83.6352
Tappen,ND,North Dakota,46.8716,-99.6269
Wilmot,OH,Ohio,40.6555,-81.6347
Forgan,OK,Oklahoma,36.9070,-100.5381
Henrieville,UT,Utah,37.5638,-112.0020
Soldier Creek,SD,South Dakota,43.3237,-100.8883
Nixon,TN,Tennessee,35.1148,-88.2583
Keller,VA,Virginia,37.6211,-75.7644
Deal Island,MD,Maryland,38.1444,-75.9417
Evergreen,LA,Louisiana,30.9527,-92.1052
Lansing,OH,Ohio,40.0758,-80.7919
Mayland,TN,Tennessee,36.0459,-85.2069
Butteville,OR,Oregon,45.2562,-122.8357
Harding-Birch Lakes,AK,Alaska,64.3711,-146.5999
Searles,MN,Minnesota,44.2307,-94.4362
Spickard,MO,Missouri,40.2432,-93.5923
Michiana,MI,Michigan,41.7637,-86.8113
Avalon,GA,Georgia,34.5027,-83.1967
Pine Lakes Addition,SD,South Dakota,43.5510,-96.6355
Chupadero,NM,New Mexico,35.8144,-105.9198
Boneau,MT,Montana,48.2926,-109.8632
Bowbells,ND,North Dakota,48.8027,-102.2457
Cash,AR,Arkansas,35.8013,-90.9315
Murdock,MN,Minnesota,45.2234,-95.3946
McIntosh,FL,Florida,29.4494,-82.2211
Carrizo,AZ,Arizona,33.9866,-110.3314
Pine Point,MN,Minnesota,46.9889,-95.3883
Crystal,NM,New Mexico,36.0290,-108.9898
Ocean Breeze,FL,Florida,27.2411,-80.2262
St. Johns,OH,Ohio,40.5558,-84.0796
Copper Mountain,CO,Colorado,39.4769,-106.2011
Somerset,IN,Indiana,40.6694,-85.8315
Switz City,IN,Indiana,39.0348,-87.0540
Spangle,WA,Washington,47.4299,-117.3812
Ramona,SD,South Dakota,44.1199,-97.2154
Keyport,WA,Washington,47.6999,-122.6240
St. Regis Falls,NY,New York,44.6764,-74.5309
Cleghorn,IA,Iowa,42.8124,-95.7127
Clinton,MN,Minnesota,45.4632,-96.4414
Dillard,GA,Georgia,34.9749,-83.3820
Olmito and Olmito,TX,Texas,26.3400,-98.6420
Hayes Center,NE,Nebraska,40.5110,-101.0204
Arpin,WI,Wisconsin,44.5394,-90.0315
Garland,TN,Tennessee,35.5823,-89.7525
Eldorado Springs,CO,Colorado,39.9366,-105.2626
Talala,OK,Oklahoma,36.5295,-95.7011
Cameron,OK,Oklahoma,35.1374,-94.5393
Chickaloon,AK,Alaska,61.8040,-148.4103
Bluff City,AR,Arkansas,33.7224,-93.1316
Haworth,OK,Oklahoma,33.8405,-94.6571
Thompsons,TX,Texas,29.4906,-95.6304
Cashtown,PA,Pennsylvania,39.8837,-77.3532
Hunter,ND,North Dakota,47.1904,-97.2131
Seymour,IL,Illinois,40.1068,-88.4269
Williamsville,MO,Missouri,36.9737,-90.5480
Clyattville,GA,Georgia,30.6880,-83.3154
Paisley,OR,Oregon,42.6926,-120.5452
French Gulch,CA,California,40.7166,-122.6312
Haines Falls,NY,New York,42.1970,-74.1009
Kelford,NC,North Carolina,36.1813,-77.2243
Leona,TX,Texas,31.1537,-95.9760
Glen Echo,MD,Maryland,38.9683,-77.1412
Blooming Grove,IN,Indiana,39.5023,-85.0647
Cedar Hill Lakes,MO,Missouri,38.3300,-90.6577
Hortonville,NY,New York,41.7662,-75.0222
Etowah,AR,Arkansas,35.7225,-90.2321
Perry,IL,Illinois,39.7821,-90.7474
Dime Box,TX,Texas,30.3550,-96.8233
Abrams,WI,Wisconsin,44.7796,-88.0604
Mulhall,OK,Oklahoma,36.0913,-97.3610
Doland,SD,South Dakota,44.8944,-98.0997
Marble,NC,North Carolina,35.1770,-83.9265
Athens,LA,Louisiana,32.6580,-93.0277
Goodrich,TX,Texas,30.6092,-94.9467
Dowell,IL,Illinois,37.9396,-89.2391
Crystal Beach,AZ,Arizona,34.5714,-114.3925
Smarr,GA,Georgia,32.9870,-83.8830
Mallard Bay,OK,Oklahoma,35.8623,-95.2638
Meservey,IA,Iowa,42.9157,-93.4733
Greasewood,AZ,Arizona,35.5279,-109.8614
Cornfields,AZ,Arizona,35.6515,-109.6756
Shaft,MD,Maryland,39.6265,-78.9384
Edwardsport,IN,Indiana,38.8125,-87.2513
Taylor Landing,TX,Texas,29.8641,-94.1348
Ojo Sarco,NM,New Mexico,36.1250,-105.7846
Harrell,AR,Arkansas,33.5099,-92.4001
Kimball,WV,West Virginia,37.4268,-81.5078
Yolo,CA,California,38.7405,-121.8093
Goodville,PA,Pennsylvania,40.1280,-76.0046
Shirley,AR,Arkansas,35.6442,-92.3137
Bliss,ID,Idaho,42.9243,-114.9479
Westcreek,CO,Colorado,39.1499,-105.1626
Lake Ka-Ho,IL,Illinois,39.0998,-89.7463
Grand Lake,CO,Colorado,40.2502,-105.8232
Surrency,GA,Georgia,31.7215,-82.1988
Sparta,KY,Kentucky,38.6969,-84.9074
Boston,PA,Pennsylvania,40.3120,-79.8237
Greeley,KS,Kansas,38.3676,-95.1272
Canadian Shores,OK,Oklahoma,35.1743,-95.7425
Roberts,MT,Montana,45.3437,-109.1817
Eastlake,MI,Michigan,44.2449,-86.2927
Wall Lake,IN,Indiana,41.7297,-85.1999
Bedias,TX,Texas,30.7792,-95.9469
Lambs Grove,IA,Iowa,41.7007,-93.0793
Ingalls,KS,Kansas,37.8287,-100.4534
Dinwiddie,VA,Virginia,37.0850,-77.5865
Amazonia,MO,Missouri,39.8888,-94.8927
Russellville,SC,South Carolina,33.3970,-79.9637
Fairlee,MD,Maryland,39.2268,-76.1654
Diggins,MO,Missouri,37.1740,-92.8503
City of Creede,CO,Colorado,37.8486,-106.9253
Elderton,PA,Pennsylvania,40.6945,-79.3421
Eureka,WI,Wisconsin,44.0074,-88.8425
Alvarado,MN,Minnesota,48.1930,-96.9984
Allport,PA,Pennsylvania,40.9660,-78.2066
Kempton,IN,Indiana,40.2881,-86.2294
Brocton,IL,Illinois,39.7154,-87.9336
Elizabethtown,OH,Ohio,39.1622,-84.8037
Kempton,IL,Illinois,40.9354,-88.2363
Keats,KS,Kansas,39.2217,-96.7109
Rosewood,OH,Ohio,40.2174,-83.9634
Glenwood,NC,North Carolina,35.6161,-81.9833
Blairsville,IL,Illinois,37.8107,-89.1239
Ackermanville,PA,Pennsylvania,40.8350,-75.2227
Buckner,IL,Illinois,37.9807,-89.0152
Clam Gulch,AK,Alaska,60.2000,-151.3939
Manns Choice,PA,Pennsylvania,40.0035,-78.5912
Granville,ND,North Dakota,48.2663,-100.8449
Mount Pleasant,AR,Arkansas,35.9819,-91.7771
Eros,LA,Louisiana,32.3926,-92.4239
Carolina,AL,Alabama,31.2337,-86.5227
Kinta,OK,Oklahoma,35.1194,-95.2378
Lowell,WI,Wisconsin,43.3363,-88.8182
Teller,AK,Alaska,65.2531,-166.3420
Scottsville,TX,Texas,32.5317,-94.2464
Chapman,NE,Nebraska,41.0233,-98.1593
Boydton,VA,Virginia,36.6660,-78.3908
Briarwood Estates,MO,Missouri,38.1564,-90.5905
Oak Ridge,MO,Missouri,37.4987,-89.7299
Hobgood,NC,North Carolina,36.0267,-77.3940
Cruzville,NM,New Mexico,33.8100,-108.6684
Keswick,IA,Iowa,41.4545,-92.2383
Maunaloa,HI,Hawaii,21.1334,-157.2123
Kasilof,AK,Alaska,60.3310,-151.2293
Coloma,CA,California,38.8026,-120.8946
Paris,MI,Michigan,43.7814,-85.5067
Post Lake,WI,Wisconsin,45.4352,-89.0921
Roy,NM,New Mexico,35.9451,-104.1963
Searchlight,NV,Nevada,35.4555,-114.9204
Harrisonburg,LA,Louisiana,31.7681,-91.8250
Grass Valley,OR,Oregon,45.3591,-120.7844
West Rushville,OH,Ohio,39.7641,-82.4486
Coffee Creek,CA,California,41.0802,-122.7136
Gresham,NE,Nebraska,41.0284,-97.4011
County Line,AL,Alabama,33.8208,-86.7195
Gotebo,OK,Oklahoma,35.0712,-98.8743
Keo,AR,Arkansas,34.6090,-92.0102
Waco,NC,North Carolina,35.3622,-81.4287
Holland Patent,NY,New York,43.2413,-75.2567
Carroll,NE,Nebraska,42.2758,-97.1908
Creekside,PA,Pennsylvania,40.6810,-79.1932
Lakeridge,NV,Nevada,39.0382,-119.9397
Bruning,NE,Nebraska,40.3358,-97.5647
Neilton,WA,Washington,47.4031,-123.8782
Crescent,OR,Oregon,43.4550,-121.7013
Lakewood,WI,Wisconsin,45.3006,-88.5145
Dyess,AR,Arkansas,35.5893,-90.2133
Gardiner,OR,Oregon,43.7327,-124.1068
Leesville,OH,Ohio,40.4519,-81.2095
Plumwood,OH,Ohio,40.0088,-83.4147
Morristown,OH,Ohio,40.0638,-81.0696
Gary,MN,Minnesota,47.3725,-96.2656
Gatesville,NC,North Carolina,36.4072,-76.7566
Drummond,MT,Montana,46.6665,-113.1471
Clearwater,NE,Nebraska,42.1707,-98.1897
Ambler,AK,Alaska,67.0897,-157.8725
Linville,VA,Virginia,38.5200,-78.8358
Holland,MN,Minnesota,44.0897,-96.1944
Mobile City,TX,Texas,32.9228,-96.4111
Mount Vernon,AR,Arkansas,35.2236,-92.1240
Lupton,MI,Michigan,44.4297,-84.0225
Unionville Center,OH,Ohio,40.1367,-83.3416
Winter,WI,Wisconsin,45.8221,-91.0130
Kanauga,OH,Ohio,38.8411,-82.1495
Holy Cross,AK,Alaska,62.1868,-159.8198
Harrison,ID,Idaho,47.4675,-116.8034
Dakota,MN,Minnesota,43.9106,-91.3605
Bovina,MS,Mississippi,32.3499,-90.7359
Goltry,OK,Oklahoma,36.5319,-98.1510
Norwood,GA,Georgia,33.4625,-82.7055
Kiron,IA,Iowa,42.1941,-95.3271
Blue Springs,MS,Mississippi,34.3922,-88.8779
Laguna Seca,TX,Texas,26.2793,-97.9262
Cisco,IL,Illinois,40.0117,-88.7254
Oaks,OK,Oklahoma,36.1698,-94.8529
Newark,MD,Maryland,38.2751,-75.2733
Kensal,ND,North Dakota,47.3000,-98.7321
Harbor Island,SC,South Carolina,32.4033,-80.4377
Corinth,KY,Kentucky,38.4997,-84.6031
Centertown,TN,Tennessee,35.7251,-85.9197
South Glastonbury,MT,Montana,45.3121,-110.8076
Bushton,KS,Kansas,38.5124,-98.3959
Industry,TX,Texas,29.9715,-96.4992
Gainesville,AL,Alabama,32.8149,-88.1608
Clayville,NY,New York,42.9748,-75.2489
Sobieski,WI,Wisconsin,44.7227,-88.0659
Gary City,TX,Texas,32.0277,-94.3679
Hewitt,MN,Minnesota,46.3240,-95.0902
Double Spring,NV,Nevada,38.7788,-119.6154
Pattonsburg,MO,Missouri,40.0715,-94.1060
Elmer City,WA,Washington,47.9999,-118.9540
Hartleton,PA,Pennsylvania,40.9002,-77.1564
Ivor,VA,Virginia,36.9052,-76.8978
Linndale,OH,Ohio,41.4450,-81.7665
Hancock,IA,Iowa,41.3924,-95.3636
Rudolph,OH,Ohio,41.2966,-83.6641
Sanostee,NM,New Mexico,36.4329,-108.8730
Newton Hamilton,PA,Pennsylvania,40.3925,-77.8354
Bethpage,TN,Tennessee,36.4843,-86.3085
Peter,UT,Utah,41.7716,-111.9859
Ripplemead,VA,Virginia,37.3390,-80.6883
Crane,IN,Indiana,38.8943,-86.9012
Fillmore,IL,Illinois,39.1154,-89.2785
Prospect,NY,New York,43.3025,-75.1513
Marathon,TX,Texas,30.2157,-103.2433
Denning,AR,Arkansas,35.4252,-93.7568
Maharishi Vedic City,IA,Iowa,41.0545,-92.0146
Ozora,MO,Missouri,37.8667,-90.0518
Manor Creek,KY,Kentucky,38.2981,-85.5873
Locustdale,PA,Pennsylvania,40.7784,-76.3736
Kensett,IA,Iowa,43.3534,-93.2108
Palominas,AZ,Arizona,31.3839,-110.1212
Haugen,WI,Wisconsin,45.6078,-91.7788
Burton,TX,Texas,30.1813,-96.5999
Maplewood Park,OH,Ohio,41.1392,-80.5798
Fairhaven,MN,Minnesota,45.3231,-94.2040
Davis,NC,North Carolina,34.7996,-76.4641
Becenti,NM,New Mexico,35.8123,-108.1708
Hallam,NE,Nebraska,40.5364,-96.7869
Tyner,IN,Indiana,41.4098,-86.4025
Pickstown,SD,South Dakota,43.0671,-98.5295
Liberty,OK,Oklahoma,35.4656,-94.5442
Apple Valley,ND,North Dakota,46.8209,-100.5993
Moscow,IA,Iowa,41.5724,-91.0822
Coalmont,IN,Indiana,39.1932,-87.2265
Smithland,KY,Kentucky,37.1387,-88.4038
Andersonville,TN,Tennessee,36.1970,-84.0330
McClure,IL,Illinois,37.3146,-89.4335
Columbus City,IA,Iowa,41.2592,-91.3748
Homeland,FL,Florida,27.8181,-81.8268
Schnellville,IN,Indiana,38.3412,-86.7561
Helena,OH,Ohio,41.3403,-83.2921
Fairview,VA,Virginia,36.8292,-78.4653
Seaton,IL,Illinois,41.1023,-90.7991
Aberdeen Gardens,WA,Washington,47.0587,-123.7791
Sanford,AL,Alabama,31.3007,-86.3976
Staples,TX,Texas,29.7664,-97.8279
Royal Lakes,IL,Illinois,39.1117,-89.9607
De Soto,MS,Mississippi,31.9699,-88.7205
Hosmer,SD,South Dakota,45.5788,-99.4736
Midvale,ID,Idaho,44.4618,-116.7435
The Plains,VA,Virginia,38.8621,-77.7743
Lewisville,MN,Minnesota,43.9241,-94.4341
California Pines,CA,California,41.4117,-120.6605
Statesville,TN,Tennessee,36.0198,-86.1206
St. Charles,KY,Kentucky,37.1881,-87.5510
Richville,NY,New York,44.4151,-75.3924
Montezuma Creek,UT,Utah,37.2563,-109.3030
Chain of Rocks,MO,Missouri,38.9155,-90.8020
Alexander,IL,Illinois,39.7218,-90.0368
Ramsay,MI,Michigan,46.4700,-89.9978
Ceylon,MN,Minnesota,43.5329,-94.6307
Captree,NY,New York,40.6449,-73.2575
Lisbon,IL,Illinois,41.4807,-88.4559
Middle River,MN,Minnesota,48.4349,-96.1617
Little Creek,DE,Delaware,39.1659,-75.4481
St. Petersburg,PA,Pennsylvania,41.1610,-79.6545
Stoutland,MO,Missouri,37.8136,-92.5142
Port Hope,MI,Michigan,43.9394,-82.7153
Reevesville,SC,South Carolina,33.2021,-80.6456
Clutier,IA,Iowa,42.0793,-92.4036
Whitmore,CA,California,40.6149,-121.9355
Buckingham Courthouse,VA,Virginia,37.5541,-78.5514
Elco,PA,Pennsylvania,40.0812,-79.8813
San Carlos II,TX,Texas,27.4901,-99.3684
Greeley,IA,Iowa,42.5849,-91.3417
Leiters Ford,IN,Indiana,41.1217,-86.3858
Ballantine,MT,Montana,45.9511,-108.1428
Stout,IA,Iowa,42.5270,-92.7115
Owendale,MI,Michigan,43.7273,-83.2671
Davy,WV,West Virginia,37.4759,-81.6475
Wahkon,MN,Minnesota,46.1206,-93.5223
Glenford,OH,Ohio,39.8863,-82.3201
Bluejacket,OK,Oklahoma,36.8003,-95.0740
Marble Rock,IA,Iowa,42.9647,-92.8681
Babb,MT,Montana,48.8777,-113.4408
Andersonville,IN,Indiana,39.4975,-85.2889
Elbing,KS,Kansas,38.0534,-97.1283
Sinking Spring,OH,Ohio,39.0747,-83.3871
Broeck Pointe,KY,Kentucky,38.2955,-85.5857
Boligee,AL,Alabama,32.7699,-88.0264
Bowdens,NC,North Carolina,35.0579,-78.1128
Lake Huntington,NY,New York,41.6830,-74.9922
Pine Village,IN,Indiana,40.4495,-87.2534
Pleasure Bend,LA,Louisiana,29.9205,-90.6460
Crescent Springs,OK,Oklahoma,35.8968,-97.6028
Glen Arbor,MI,Michigan,44.8960,-85.9899
Maynard,MN,Minnesota,44.9055,-95.4687
Adams Lake,IN,Indiana,41.5536,-85.3302
Raiford,FL,Florida,30.0638,-82.2391
Willisville,AR,Arkansas,33.5194,-93.2949
Coldfoot,AK,Alaska,67.2475,-150.1079
Jacksonboro,SC,South Carolina,32.7718,-80.4768
Wachapreague,VA,Virginia,37.6063,-75.6897
Gideon,OK,Oklahoma,35.9972,-95.0280
Vina,CA,California,39.9343,-122.0517
Oakley,MI,Michigan,43.1434,-84.1685
Skyline,MN,Minnesota,44.1406,-94.0341
Dunnell,MN,Minnesota,43.5604,-94.7752
Gateway,AR,Arkansas,36.4854,-93.9365
Tyonek,AK,Alaska,61.0734,-151.3330
Cantril,IA,Iowa,40.6429,-92.0684
Blencoe,IA,Iowa,41.9303,-96.0820
Oktaha,OK,Oklahoma,35.5775,-95.4779
St. Charles,AR,Arkansas,34.3730,-91.1375
Gallina,NM,New Mexico,36.2295,-106.8205
